player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label
21592;G. Laborde;84;Nice;Nice;Attacker;1838.0;high;True;False;86.5;79.4;78.2;70.9;55.9;62.9;77.4;80.0;78.4;1.9;80.3;82.8;12.0;En hausse;Élevée;5.0;68.3;-12.0;En baisse
25287;K. Danso;116;Lens;Lens;Defender;1080.0;medium;True;False;54.4;86.2;56.6;59.8;79.8;75.3;76.9;80.3;78.3;1.9;80.1;;;;;;64.8;0.0;Stable
22261;A. Thomasson;116;Lens;Lens;Midfielder;2623.0;high;True;False;73.5;88.7;84.8;69.4;72.7;72.7;77.9;78.6;78.2;1.8;80.0;81.2;5.1;En hausse;Élevée;5.0;64.8;0.0;Stable
361348;M. Fofana;80;Lyon;Lyon;Attacker;1597.0;high;True;False;85.0;81.4;83.5;72.4;55.3;70.3;79.4;76.3;78.2;1.8;80.0;75.0;-4.0;En baisse;Élevée;5.0;51.3;4.0;En hausse
662;T. Ndombélé;84;Nice;Nice;Midfielder;1139.0;medium;True;False;64.7;80.8;82.6;85.5;74.1;84.3;79.7;75.7;78.1;1.8;79.9;;;;;;68.3;-12.0;En baisse
8489;J. David;79;Lille;Lille;Attacker;2558.0;high;True;False;91.7;78.9;77.7;71.7;45.8;51.5;77.3;79.1;78.0;1.8;79.8;69.1;-1.2;Stable;Élevée;5.0;58.7;-6.7;En baisse
84128;Y. Gboho;96;Toulouse;Toulouse;Attacker;2340.0;high;True;False;84.9;75.5;81.4;73.6;52.3;71.1;78.9;76.6;78.0;1.8;79.8;81.3;8.4;En hausse;Élevée;5.0;62.7;5.3;En hausse
21443;T. Savanier;82;Montpellier;Montpellier;Midfielder;2339.0;high;True;False;69.6;92.1;87.7;73.0;57.8;74.4;77.1;79.0;77.9;1.7;79.6;64.4;-1.6;Stable;Moyenne;3.0;25.0;-2.7;Stable
11421;G. Suazo;96;Toulouse;Toulouse;Defender;2160.0;high;True;False;57.8;85.3;83.5;84.6;76.3;72.4;77.2;78.7;77.8;1.7;79.5;69.6;-0.3;Stable;Moyenne;3.0;62.7;5.3;En hausse
2214;R. Del Castillo;106;Stade Brestois 29;Stade Brestois 29;Midfielder;1266.0;medium;True;False;87.1;91.3;86.7;70.0;62.7;69.5;78.1;77.3;77.8;1.7;79.5;76.0;-8.2;En baisse;Élevée;5.0;48.8;4.0;En hausse
322560;L. Stassin;1063;Saint Etienne;Saint Etienne;Attacker;1875.0;high;True;False;91.3;69.8;75.9;73.2;43.9;55.0;77.1;78.5;77.7;1.7;79.4;75.7;;Non disponible;Faible;2.0;43.0;4.0;En hausse
